"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
5211,0,0,0,0,0,0,0,0
5212,0,1,1,0,0,1,1,0
5213,0,0,0,0,0,0,0,0
5214,0,0,0,0,0,0,0,0
5215,0,0,0,0,0,0,0,0
5216,0,0,0,0,0,0,0,0
5217,0,0,0,0,0,0,0,0
5218,0,0,0,0,0,0,0,0
5219,1,1,0,0,1,1,0,0
5220,0,0,0,0,0,0,0,0
5221,0,0,0,0,0,0,0,0
5222,0,0,0,0,0,0,0,0
5224,0,0,0,0,0,0,0,0
5225,0,0,0,0,0,0,0,0
5226,0,0,0,0,0,0,0,0
5227,0,0,0,0,0,0,0,0
5228,0,0,0,0,0,0,0,0
5229,0,0,0,0,0,0,0,0
5230,0,0,0,0,0,0,0,0
5231,0,0,0,0,0,0,0,0
5232,0,0,0,0,0,0,0,0
5233,0,0,0,0,0,0,0,0
5234,0,0,0,0,0,0,0,0
5235,0,0,0,0,0,0,0,0
5236,0,0,0,0,0,0,0,0
5237,0,0,0,0,0,0,0,0
5238,1,0,0,0,1,0,0,0
5239,0,1,1,0,0,1,1,0
5240,0,0,0,0,0,0,0,0
5241,0,0,0,0,0,0,0,0
5242,0,0,0,0,0,0,0,0
5243,1,1,0,0,1,1,0,0
5244,0,0,0,0,0,0,0,0
5245,0,0,0,0,0,0,0,0
5246,0,0,0,0,0,0,0,0
5247,0,0,0,0,0,0,0,0
5249,0,1,1,0,0,1,1,0
5251,0,0,0,0,0,0,0,0
5252,0,0,0,0,0,0,0,0
5253,0,0,0,0,0,0,0,0
5254,1,0,0,0,1,0,0,0
5256,0,0,0,0,0,0,0,0
5257,0,0,0,0,0,0,0,0
5258,1,1,0,0,1,1,0,0
5259,0,0,0,0,0,0,0,0
5260,0,0,0,0,0,0,0,0
5261,0,0,0,0,0,0,0,0
5262,0,0,0,0,0,0,0,0
5263,0,0,0,0,0,0,0,0
5264,0,0,0,0,0,0,0,0
5265,0,0,0,0,0,0,0,0
5266,0,0,0,0,0,0,0,0
5267,0,0,0,0,0,0,0,0
5901,0,0,0,0,0,0,0,0
5902,0,0,0,0,0,0,0,0
5903,0,0,0,0,0,0,0,0
5904,0,1,1,0,0,1,1,0
5905,0,0,0,0,0,0,0,0
6001,1,1,0,0,1,1,0,0
6002,0,0,0,0,0,0,0,0
6003,1,1,0,0,1,1,0,0
6004,1,1,0,0,1,1,0,0
6005,1,1,0,0,1,1,0,0
6006,0,1,1,0,0,1,1,0
6007,1,1,0,0,1,1,0,0
6008,1,1,0,0,1,1,0,0
6009,0,0,0,0,0,0,0,0
6010,1,1,0,0,1,1,0,0
6011,0,1,1,0,0,1,1,0
6012,1,1,0,0,1,1,0,0
6013,1,1,0,0,1,1,0,0
6014,0,0,0,0,0,0,0,0
6015,0,0,0,0,0,0,0,0
6016,0,0,0,0,0,0,0,0
6017,0,0,0,0,0,0,0,0
6018,1,1,0,0,1,1,0,0
6019,1,1,0,0,1,1,0,0
